Group,Sex,Age_Group,MetS_Status,Top_3_Hubs,Hub_Frequency,Primary_Target,Secondary_Target,Positive_Pattern,Coaching_Strategy,Intervention_Priority,Rationale
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),"Processed Foods, Vegetables, Fried Foods","Processed Foods (90.9%), Fried Foods (81.8%)","Fried Foods (MetS-specific, 100% vs 66.7%)",Processed Foods (reduce central hub),Vegetables appear (uncommon in young adults),Increase vegetable consumption while reducing fried/processed foods. Address sugar-sweetened beverage hub. Leverage existing vegetable consumption as foundation for healthier pattern.,High,Young MetS+ with unique vegetable hub offers intervention opportunity. Fried foods central in MetS+ (100%) vs MetS- (66.7%).
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),"Processed Foods, Protein Foods, Fried Foods","Processed Foods (90.9%), Protein Foods (72.7%)",Processed Foods (preventive reduction),Maintain protein food quality,Protein Foods appear (health maintenance),Preventive intervention: reduce processed food centrality while maintaining protein intake. Monitor fried food consumption before it becomes entrenched.,Moderate,Healthy young adults with preventable risk pattern. Protein foods indicate potential for health maintenance (100% in MetS-).
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),"Protein Foods, Fried Foods, Processed Foods","Fried Foods (81.8%), Processed Foods (90.9%)",Fried Foods (change cooking method to grilling),Processed Foods (gradual reduction),Protein Foods hub (maintain quality),Modify cooking methods: transition from frying to grilling/steaming. Maintain protein intake but improve quality (lean cuts). Gradual processed food substitution.,High,Critical intervention window in middle age. Fried foods universal in MetS+ (100% vs 66.7% in MetS-).
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),"Protein Foods, Fried Foods, Processed Foods","Protein Foods (72.7%), Fried Foods (81.8%)",Maintain high-quality protein consumption,Monitor fried food intake,Protein Foods dominant (100% in MetS-),"Health maintenance: emphasize lean protein sources (fish, chicken, legumes). Monitor but do not eliminate fried foods. Positive reinforcement for existing healthy protein pattern.",Low-Moderate,Healthy middle-aged men with strong protein hub (100% vs 40% in MetS+). Maintain protective pattern.
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),"Fried Foods, Processed Foods, Sugar-Sweetened Beverages","Fried Foods (81.8%), Processed Foods (90.9%)",Sugar-Sweetened Beverages (unique to elderly MetS+),Fried Foods and Processed Foods,None identified,"CRITICAL: Restrict sugar-sweetened beverages (diabetes risk in elderly). Replace fried/processed foods with softer, easier-to-digest alternatives suitable for older adults. Consider dental/digestive constraints.",Very High,Elderly MetS+ with worst dietary pattern. Sugar-sweetened beverages appear only in this group (unique risk). Urgent intervention needed.
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),"Protein Foods, Fried Foods, Processed Foods","Protein Foods (72.7%), Fried Foods (81.8%)",Maintain protein intake for sarcopenia prevention,Gentle reduction of fried/processed foods,Protein Foods hub (100% vs 40% in MetS+),Geriatric health maintenance: ensure adequate protein for muscle mass. Gradually reduce fried foods with age-appropriate alternatives. Maintain current healthy pattern.,Low,Healthy elderly men with protective protein hub. Focus on maintaining functional nutrition in aging.
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),"High Fat Meat, Processed Foods, Protein Foods","Processed Foods (90.9%), Protein Foods (72.7%)",High Fat Meat (female-specific hub),Processed Foods,Protein Foods indicate health awareness,"Redirect high-fat meat preference to lean proteins. Reduce processed food centrality. Leverage existing protein consumption for healthier substitutions (plant-based, fish).",Moderate,Young women with unique high-fat meat hub. Opportunity for early dietary pattern modification before MetS development.
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),"Fried Foods, Processed Foods, Sweet Food Consumption","Fried Foods (81.8%), Processed Foods (90.9%)",Sweet Food Consumption (unique to middle-aged MetS+ women),Fried Foods and Processed Foods,None identified,GENDER-SPECIFIC: Address sweet food consumption hub (appears only in this group). Reduce fried/processed foods. Consider hormonal/menopausal influences on dietary preferences. Substitute sweets with fruits.,Very High,Critical group: sweet foods appear uniquely in middle-aged MetS+ women. Combined with fried/processed hubs creates high-risk pattern.
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),"Processed Foods, Protein Foods, Fried Foods","Processed Foods (90.9%), Protein Foods (72.7%)",Processed Foods (high centrality: 0.273),Maintain protein foods,Protein Foods hub (health maintenance),Focus on processed food substitution while maintaining protein intake. Preventive intervention for high-risk transition period (menopause). Reinforce healthy protein pattern.,Moderate-High,Healthy middle-aged women with highest processed food centrality (0.273). Preventive intervention during menopausal transition.
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),"Protein Foods, Fried Foods, High Fat Meat","Fried Foods (81.8%), Protein Foods (72.7%)",High Fat Meat (reduce saturated fat intake),Fried Foods (cardiovascular risk),Protein Foods hub (maintain for sarcopenia),Geriatric MetS management: reduce high-fat meat and fried foods (cardiovascular risk). Maintain adequate protein with lean sources. Age-appropriate portion sizes and textures.,High,Elderly MetS+ women with high-fat meat hub. Balance protein needs (sarcopenia) with cardiovascular risk reduction.
