Group,Sex,Age_Group,MetS_Status,N_Samples,Priority_Level,Network_Message,Intervention_Rank,Target_Food,Centrality,Current_Intake,Food_Category,Message,Alternative,Age_Specific,Sex_Specific
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),881,HIGH,개별 식품군의 독립적 관리가 가능합니다,1,Fruits,0.9090909090909092,2.3598183881952326,healthy,과일 섭취를 늘리세요 (하루 2-3회),"제철 과일, 통과일 섭취",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),881,HIGH,개별 식품군의 독립적 관리가 가능합니다,2,Fried Foods,0.9090909090909092,1.2338251986379114,unhealthy,"튀김 음식 섭취를 줄이고, 찜·구이 조리법으로 대체하세요","구운 닭가슴살, 생선구이, 채소찜",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),881,HIGH,개별 식품군의 독립적 관리가 가능합니다,3,Sugar-Sweetened Beverages,0.9090909090909092,1.2860385925085132,unhealthy,당류 음료를 줄이고 물이나 무가당 음료로 대체하세요,"물, 보리차, 녹차, 탄산수",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),1098,MEDIUM,개별 식품군의 독립적 관리가 가능합니다,1,Fruits,0.7272727272727273,2.366120218579235,healthy,과일 섭취를 늘리세요 (하루 2-3회),"제철 과일, 통과일 섭취",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),1098,MEDIUM,개별 식품군의 독립적 관리가 가능합니다,2,High Fat Meat,0.7272727272727273,1.3743169398907105,unhealthy,"고지방 육류 섭취를 줄이고, 저지방 단백질로 전환하세요","닭가슴살, 생선, 두부, 콩류",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),1098,MEDIUM,개별 식품군의 독립적 관리가 가능합니다,3,Processed Foods,0.7272727272727273,1.1958105646630237,unhealthy,"가공식품(햄, 소시지 등) 섭취를 줄이고 신선식품을 선택하세요","신선한 고기, 생선, 계란",건강 유지를 위해 부드럽고 소화하기 쉬운 조리법을 선택하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),2938,HIGH,개별 식품군의 독립적 관리가 가능합니다,1,Vegetables,0.8181818181818182,2.730088495575221,healthy,채소 섭취를 늘리세요 (하루 5접시 이상 목표),다양한 색깔의 채소를 매 끼니마다,만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),2938,HIGH,개별 식품군의 독립적 관리가 가능합니다,2,Sugar-Sweetened Beverages,0.8181818181818182,1.491490810074881,unhealthy,당류 음료를 줄이고 물이나 무가당 음료로 대체하세요,"물, 보리차, 녹차, 탄산수",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),2938,HIGH,개별 식품군의 독립적 관리가 가능합니다,3,Fried Foods,0.7272727272727273,1.407420013614704,unhealthy,"튀김 음식 섭취를 줄이고, 찜·구이 조리법으로 대체하세요","구운 닭가슴살, 생선구이, 채소찜",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),4737,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",1,Processed Foods,1.0,1.424741397508972,unhealthy,"가공식품(햄, 소시지 등) 섭취를 줄이고 신선식품을 선택하세요","신선한 고기, 생선, 계란",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),4737,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",2,Salty Food Consumption,1.0,1.7156428119062699,unhealthy,소금 섭취를 줄이고 천연 향신료로 간을 하세요,"마늘, 생강, 허브, 레몬즙",만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),4737,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",3,Sweet Food Consumption,1.0,2.004222081486173,healthy,Sweet Food Consumption 섭취 패턴 개선이 필요합니다,균형잡힌 식단,만성질환 예방을 위해 지금부터 식습관 개선이 중요합니다,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),516,HIGH,개별 식품군의 독립적 관리가 가능합니다,1,Vegetables,0.9090909090909092,2.565891472868217,healthy,채소 섭취를 늘리세요 (하루 5접시 이상 목표),다양한 색깔의 채소를 매 끼니마다,바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),516,HIGH,개별 식품군의 독립적 관리가 가능합니다,2,Processed Foods,0.8181818181818182,1.7965116279069768,unhealthy,"가공식품(햄, 소시지 등) 섭취를 줄이고 신선식품을 선택하세요","신선한 고기, 생선, 계란",바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),516,HIGH,개별 식품군의 독립적 관리가 가능합니다,3,Fruits,0.7272727272727273,1.5310077519379846,healthy,과일 섭취를 늘리세요 (하루 2-3회),"제철 과일, 통과일 섭취",바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),1963,MEDIUM,"식품 간 상호연관성이 높아, 하나의 식습관 개선이 전체 식단에 긍정적 영향을 줄 수 있습니다",1,Grain Products,1.0,2.0417727967396844,healthy,Grain Products 섭취 패턴 개선이 필요합니다,균형잡힌 식단,바쁜 일상 속에서도 실천 가능한 간편한 방법을 활용하세요,음주와 함께 먹는 안주류 섭취에 주의하세요
