Group,Sex,Age_Group,MetS_Status,Priority_Rank,Food,Food_Category,Risk_Score,Direct_Effect,Network_Centrality,Indirect_Effect,Current_Intake,N_Connections,Risk_Reason,Education_Message,Alternative_Foods,Action_Plan,Age_Specific,Sex_Specific
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),1,Protein Foods,Healthy,0.6098629922810443,0.024657480702610927,1.0,1.0,2.9417303251021494,11,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",매 끼니 단백질 식품 포함,만성질환 예방을 위해 지금부터 식습관 개선이 중요,골다공증 예방을 위해 칼슘 섭취 중요
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),2,Vegetables,Healthy,0.59540426008202,0.028495185252255063,1.0,0.9466872866037266,2.7765144785930005,11,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.95),채소 섭취를 늘리세요,다양한 색깔의 채소,매 끼니 채소 반찬 추가,만성질환 예방을 위해 지금부터 식습관 개선이 중요,골다공증 예방을 위해 칼슘 섭취 중요
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),3,Processed Foods,Unhealthy,0.5697865725501038,0.017405149464598098,1.0,0.8760817092142151,1.4356013501510037,11,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.88),가공식품 섭취를 줄이세요,"신선한 고기, 생선, 계란",가공되지 않은 신선식품 선택,만성질환 예방을 위해 지금부터 식습관 개선이 중요,골다공증 예방을 위해 칼슘 섭취 중요
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),1,Processed Foods,Unhealthy,0.6141458343160655,0.03536458579016384,1.0,1.0,1.424741397508972,11,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),가공식품 섭취를 줄이세요,"신선한 고기, 생선, 계란",가공되지 않은 신선식품 선택,만성질환 예방을 위해 지금부터 식습관 개선이 중요,음주 시 안주 선택에 주의
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),2,Vegetables,Healthy,0.5620614335662367,0.02423648062303965,0.9090909090909092,0.9321318952991604,2.7808739708676375,10,전체 식습관 패턴의 핵심 허브 (중심성=0.91); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.93),채소 섭취를 늘리세요,다양한 색깔의 채소,매 끼니 채소 반찬 추가,만성질환 예방을 위해 지금부터 식습관 개선이 중요,음주 시 안주 선택에 주의
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),3,Protein Foods,Healthy,0.5376797001085167,0.02989886456611975,0.9090909090909092,0.8433096051826535,3.010977411864049,10,전체 식습관 패턴의 핵심 허브 (중심성=0.91); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.84),양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",매 끼니 단백질 식품 포함,만성질환 예방을 위해 지금부터 식습관 개선이 중요,음주 시 안주 선택에 주의
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),1,Processed Foods,Unhealthy,0.5865323594372107,0.049664231926360006,0.8888888888888888,1.0,1.5098706603131382,8,전체 식습관 패턴의 핵심 허브 (중심성=0.89); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),가공식품 섭취를 줄이세요,"신선한 고기, 생선, 계란",가공되지 않은 신선식품 선택,만성질환 예방을 위해 지금부터 식습관 개선이 중요,음주 시 안주 선택에 주의
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),2,Sugar-Sweetened Beverages,Unhealthy,0.5606738464744254,0.07251844564214256,1.0,0.7722215607252282,1.491490810074881,9,전체 식습관 패턴의 핵심 허브 (중심성=1.00); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.77),당류 음료 섭취를 줄이세요,"물, 보리차, 녹차, 탄산수",음료 대신 물 섭취 습관화,만성질환 예방을 위해 지금부터 식습관 개선이 중요,음주 시 안주 선택에 주의
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),3,Fried Foods,Unhealthy,0.538798229136189,0.050716808950588124,0.8888888888888888,0.8394827962976235,1.407420013614704,8,전체 식습관 패턴의 핵심 허브 (중심성=0.89); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=0.84),튀김 음식 섭취를 줄이세요,"구운 닭가슴살, 생선구이, 채소찜","튀김 대신 굽기, 찌기 조리법 사용",만성질환 예방을 위해 지금부터 식습관 개선이 중요,음주 시 안주 선택에 주의
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),1,Protein Foods,Healthy,0.5846294616549399,0.02975547231916776,0.9090909090909092,1.0,2.9408495434696307,10,전체 식습관 패턴의 핵심 허브 (중심성=0.91); 다른 불건강 식품과 강하게 연결되어 간접 영향 큼 (경로 강도=1.00),양질의 단백질 섭취를 유지하세요,"생선, 콩류, 계란, 살코기",매 끼니 단백질 식품 포함,바쁜 일상에서도 실천 가능한 간편한 방법 활용,골다공증 예방을 위해 칼슘 섭취 중요
